"date","TB3MS"
1996-06-01,0.0700000000000003
1996-07-01,0.0600000000000005
1996-08-01,-0.100000000000001
1996-09-01,0.04
1996-10-01,-0.0999999999999996
1996-11-01,0.04
1996-12-01,-0.12
1997-01-01,0.12
1997-02-01,-0.0200000000000005
1997-03-01,0.13
1997-04-01,0.0200000000000005
1997-05-01,-0.11
1997-06-01,-0.12
1997-07-01,0.12
1997-08-01,0.0899999999999999
1997-09-01,-0.19
1997-10-01,0.0199999999999996
1997-11-01,0.17
1997-12-01,0.0200000000000005
1998-01-01,-0.12
1998-02-01,0.0499999999999998
1998-03-01,-0.0599999999999996
1998-04-01,-0.0800000000000001
1998-05-01,0.0499999999999998
1998-06-01,-0.0199999999999996
1998-07-01,-0.0200000000000005
1998-08-01,-0.0599999999999996
1998-09-01,-0.29
1998-10-01,-0.65
1998-11-01,0.45
1998-12-01,-0.0200000000000005
1999-01-01,-0.0499999999999998
1999-02-01,0.100000000000001
1999-03-01,0
1999-04-01,-0.15
1999-05-01,0.21
1999-06-01,0.0700000000000003
1999-07-01,-0.0200000000000005
1999-08-01,0.17
1999-09-01,-0.04
1999-10-01,0.180000000000001
1999-11-01,0.21
1999-12-01,0.13
2000-01-01,0.12
2000-02-01,0.23
2000-03-01,0.140000000000001
2000-04-01,-0.0300000000000002
2000-05-01,0.13
2000-06-01,-0.0999999999999996
2000-07-01,0.27
2000-08-01,0.13
2000-09-01,-0.0899999999999999
2000-10-01,0.11
2000-11-01,0.0599999999999996
2000-12-01,-0.4
2001-01-01,-0.619999999999999
2001-02-01,-0.27
2001-03-01,-0.46
2001-04-01,-0.55
2001-05-01,-0.25
2001-06-01,-0.13
2001-07-01,0.0199999999999996
2001-08-01,-0.15
2001-09-01,-0.72
2001-10-01,-0.48
2001-11-01,-0.29
2001-12-01,-0.18
2002-01-01,-0.04
2002-02-01,0.0700000000000001
2002-03-01,0.0700000000000001
2002-04-01,-0.0800000000000001
2002-05-01,0.02
2002-06-01,-0.03
2002-07-01,-0.02
2002-08-01,-0.0599999999999998
2002-09-01,0.00999999999999979
2002-10-01,-0.0499999999999998
2002-11-01,-0.35
2002-12-01,-0.04
2003-01-01,-0.02
2003-02-01,0
2003-03-01,-0.04
2003-04-01,0
2003-05-01,-0.0599999999999998
2003-06-01,-0.15
2003-07-01,-0.02
2003-08-01,0.0499999999999999
2003-09-01,-0.01
2003-10-01,-0.0199999999999999
2003-11-01,0.01
2003-12-01,-0.03
2004-01-01,-0.02
2004-02-01,0.05
2004-03-01,0.0099999999999999
2004-04-01,0
2004-05-01,0.0800000000000001
2004-06-01,0.25
2004-07-01,0.06
2004-08-01,0.15
2004-09-01,0.17
2004-10-01,0.11
2004-11-01,0.31
2004-12-01,0.12
2005-01-01,0.14
2005-02-01,0.21
2005-03-01,0.2
2005-04-01,0.0399999999999996
2005-05-01,0.06
2005-06-01,0.13
2005-07-01,0.25
2005-08-01,0.22
2005-09-01,-0.02
2005-10-01,0.29
