Date,CPI,TB3MS,M1,M2,AUD_USD,CAD_USD,NZD_USD,ZAR_USD
2002-11-01,181.5,1.23,1209.6,5758.1,0.5612578947368421,1.5714526315789474,0.49726315789473685,9.650894736842105
2002-12-01,181.8,1.19,1220.2,5779.4,0.5624142857142856,1.5592190476190477,0.5107571428571428,8.947857142857142
2003-01-01,182.6,1.17,1227.3,5812.1,0.5828904761904762,1.5414476190476192,0.5398142857142857,8.694861904761904
2003-02-01,183.6,1.17,1238.2,5848.2,0.5955684210526315,1.5121473684210525,0.5539421052631579,8.285763157894737
2003-03-01,183.9,1.13,1239.3,5868.4,0.6014904761904761,1.4760809523809524,0.5537047619047619,8.050633333333334
2003-04-01,183.2,1.13,1250.0,5905.5,0.609959090909091,1.4582045454545456,0.5517500000000001,7.66335
2003-05-01,182.9,1.07,1268.8,5965.3,0.6467904761904761,1.3839571428571429,0.5756095238095238,7.660380952380952
2003-06-01,183.1,0.92,1281.0,6002.2,0.6652285714285714,1.3525095238095237,0.5814999999999999,7.858819047619048
2003-07-01,183.7,0.9,1287.5,6049.1,0.6607363636363636,1.382090909090909,0.5863818181818181,7.545795454545455
2003-08-01,184.5,0.95,1296.4,6107.1,0.6517619047619048,1.3962714285714286,0.582947619047619,7.3944857142857146
2003-09-01,185.1,0.94,1297.2,6079.7,0.6635095238095238,1.3633714285714287,0.5842809523809523,7.305952380952381
2003-10-01,184.9,0.92,1297.8,6070.0,0.6948,1.3220954545454544,0.6019772727272726,6.964386363636364
2003-11-01,185.0,0.93,1299.1,6075.5,0.7157666666666667,1.3130444444444445,0.6284944444444444,6.720494444444444
2003-12-01,185.5,0.9,1306.2,6073.8,0.7390681818181818,1.3127545454545455,0.647140909090909,6.537431818181818
2004-01-01,186.3,0.88,1306.0,6082.1,0.771715,1.295755,0.673845,6.9398
2004-02-01,186.7,0.93,1321.4,6121.8,0.7769736842105263,1.3298947368421052,0.691621052631579,6.754236842105263
2004-03-01,187.1,0.94,1328.7,6157.9,0.7496347826086955,1.3285782608695653,0.6606521739130435,6.613995652173913
2004-04-01,187.4,0.94,1332.8,6198.9,0.7443090909090909,1.3419727272727273,0.6415409090909091,6.574745454545454
2004-05-01,188.2,1.02,1333.3,6275.7,0.703885,1.37886,0.6150800000000001,6.79956
2004-06-01,188.9,1.27,1342.7,6277.9,0.69365,1.357840909090909,0.6283590909090909,6.421631818181819
